BPIC1,BPIC2,BPIC3,BPIC4,BPIC5
request to competent authority,submit request towards the competent authority,request sent to the competent authority,send request to competent authority,send request to the competent authority
treat appeal subcase,handle the appeal subcase,address the appeal subcase,manage appeal subcase,handle and conclude the appeal subcase
appeal subcase completed,close appeal subcase,finalize the appeal subcase,resolve the appeal subcase,complete the appeal subcase
enter senddate party permitted,record senddate for approved party,log senddate for authorized party,note senddate for authorized party,log senddate for approved party
appeal and preliminary injunction in system,system logs appeals and preliminary injunctions,system tracks appeals and preliminary injunctions,system logs appeal and preliminary injunction,system tracks all appeals and preliminary injunctions
phase appeal lodged,appeal phase initiated,initiate appeal phase,appeal phase started,begin appeal phase
request updated plan again,request another plan update,request another updated plan,ask for another plan update,request plan update once more
enter senddate letter to stakeholders,document senddate for letter to stakeholders,register senddate for letter to stakeholders,note senddate for letter to stakeholders,log the senddate for letter to stakeholders
treat subcase WAW,manage WAW subcase,process WAW subcase,work on WAW subcase,manage the WAW subcase
subcase WAW completed,WAW subcase finalized,complete the WAW subcase,WAW subcase closed,WAW subcase finished
WAW request permanently suspended,permanently suspend WAW request,suspend WAW request permanently,make WAW request permanently inactive,permanently suspend the WAW request
forward transcript to stakeholders,send transcript to stakeholders,forward transcript to stakeholders,send transcript to stakeholders,dispatch transcript to stakeholders
process received advice,process received advisory,evaluate received advice,act on received advice,respond to received advice
cancel BAG objects research,terminate BAG objects research,end BAG object research,discontinue BAG objects research,end research on BAG objects
phase forwarded to competent authority,forward phase to competent authority,phase directed to competent authority,send phase to competent authority,direct phase to competent authority
creating decision suspension 35 WABO,create decision to suspend 35 WABO,decision suspension creation 35 WABO,develop decision suspension 35 WABO,draft decision suspension 35 WABO
term to perspective,term towards perspective,term to perspective analysis,term leading to perspective,term regarding perspective
treat subcase suspension art. 35 WABO,handle subcase suspension under art. 35 WABO,manage subcase suspension under art. 35 WABO,supervise subcase suspension per art. 35 WABO,administer subcase suspension under art. 35 WABO
subcase art. 35 WABO completed,complete subcase art. 35 WABO,subcase 35 WABO concluded,finished subcase art. 35 WABO,subcase art. 35 WABO finalized
subcase art. 34 WABO completed,complete subcase art. 34 WABO,subcase 34 WABO concluded,finished subcase art. 34 WABO,subcase art. 34 WABO finalized
further information received,received additional information,additional information received,more information received,extra information received
send information request,dispatch information request,issue information request,forward information request,send out information request
enter date request received,log date request received,record date request received,note date request received,enter date request recorded
registration receipt further information,register receipt of further information,receipt registration for further information,register receipt of additional information,log registration receipt for further information
objection to permanent suspension accepted,permanent suspension objection accepted,accepted objection to permanent suspension,approved objection to permanent suspension,objection to permanent suspension approved
treat subcase suspension art. 34 WABO,process subcase suspension art. 34 WABO,address subcase suspension art. 34 WABO,supervise subcase suspension art. 34 WABO,administer subcase suspension art. 34 WABO
creating decision suspension art. 34 WABO,create suspension decision art. 34 WABO,decision suspension creation art. 34 WABO,develop decision suspension art. 34 WABO,draft suspension decision art. 34 WABO
enter senddate information request,log senddate for information request,record senddate for information request,note senddate for information request,log information request senddate
injunction made ??by court,court injunction issued,injunction by court enacted,court issued injunction,court injunction ordered
subcase permanent suspension completed,complete subcase for permanent suspension,permanent suspension subcase concluded,concluded permanent suspension subcase,finalized permanent suspension subcase
treat subcase preliminary injunction,handle subcase for preliminary injunction,manage preliminary injunction subcase,supervise preliminary injunction subcase,administer preliminary injunction subcase
enter suspension term applicant,log applicant suspension term,record suspension term for applicant,note applicant suspension term,log suspension term for applicant
receive request extension,acknowledge request extension,log request extension received,document request extension received,register request extension received
treat subcase permanent suspension,process subcase for permanent suspension,address permanent suspension subcase,supervise permanent suspension subcase,administer permanent suspension subcase
create coordination confirmation,create confirmation for coordination,confirmation for coordination created,confirmation for coordination issued,create coordination confirmation
subcase preliminary injunction completed,complete subcase for preliminary injunction,preliminary injunction subcase concluded,concluded preliminary injunction subcase,finalized preliminary injunction subcase
send send confirmation competent authority,send confirmation to competent authority,dispatch confirmation to competent authority,issue confirmation to competent authority,send out confirmation to competent authority
create letter only notification required,draft letter for notification only,compose letter for notification only,draft notification letter only,compose notification only letter
mesage request VVGB,request VVGB message,VVGB message requested,ask for VVGB message,VVGB message inquiry
objection to permanent suspension in system,system logs objection to permanent suspension,system notes objection to permanent suspension,system documents objection to permanent suspension,system confirms objection to permanent suspension
start phase drop permanent suspension,initiate phase drop for permanent suspension,begin phase drop permanent suspension,launch phase drop of permanent suspension,commence phase drop permanent suspension
treating appeal to higher court subcase,manage appeal subcase to higher court,handle appeal subcase to higher court,address appeal subcase to higher court,process appeal subcase to higher court
enter enddate suspension art. 35 WABO,log enddate for suspension art. 35 WABO,note enddate for suspension art. 35 WABO,enter enddate for suspension under art. 35 WABO,record enddate for suspension art. 35 WABO
resume decision term,restart decision term,reinitiate decision term,continue decision term,resume the decision term
handle perspective in system,process perspective within system,manage perspective in system,integrate perspective in system,handle system perspective
create forwarding copy,draft forwarding copy,generate forwarding copy,compose forwarding copy,prepare forwarding copy
phase appeal to higher court,phase for higher court appeal,appeal phase to higher court,initiate appeal phase to higher court,start appeal phase to higher court
enter senddate procedure resumption,log senddate for procedure resumption,record senddate for procedure resumption,document senddate for procedure resumption,enter senddate for procedure resumption
send procedure resumption,dispatch procedure resumption,issue procedure resumption,send out procedure resumption,send resumption of procedure
create confirmation suspension,develop confirmation of suspension,create suspension confirmation,formulate confirmation of suspension,draft confirmation of suspension
date environmental permit irrevocable,record date for irrevocable environmental permit,date recorded for irrevocable environmental permit,log date for environmental permit as irrevocable,log irrevocable environmental permit date
appeal system,system for appeals,appeals management system,appeal tracking system,system for appeal processing
subcases submit draft decision completed,subcases submit draft decision completed,subcases submit draft decision completed,subcases submit draft decision completed,subcases submit draft decision completed
create information request,create information request,create information request,create information request,create information request
reactive designation received,reactive designation received,reactive designation received,reactive designation received,reactive designation received
send confirmation suspension,send confirmation suspension,send confirmation suspension,send confirmation suspension,send confirmation suspension
set decision phase: draft decision permitting,set decision phase: draft decision permitting,set decision phase: draft decision permitting,set decision phase: draft decision permitting,set decision phase: draft decision permitting
enter senddate suspension,enter senddate suspension,enter senddate suspension,enter senddate suspension,enter senddate suspension
enter senddate hearing about draft,enter senddate hearing about draft,enter senddate hearing about draft,enter senddate hearing about draft,enter senddate hearing about draft
send acknowledgement further information,send acknowledgement further information,send acknowledgement further information,send acknowledgement further information,send acknowledgement further information
associate court decision,associate court decision,associate court decision,associate court decision,associate court decision
register court decision date,register court decision date,register court decision date,register court decision date,register court decision date
more objections,more objections,more objections,more objections,more objections
objection as main case,objection as main case,objection as main case,objection as main case,objection as main case
send message OLO status decision,send message OLO status decision,send message OLO status decision,send message OLO status decision,send message OLO status decision
message change competent authority,message change competent authority,message change competent authority,message change competent authority,message change competent authority
appeal to higher court subcase completed,appeal to higher court subcase completed,appeal to higher court subcase completed,appeal to higher court subcase completed,appeal to higher court subcase completed
environmental permit decision suspended,environmental permit decision suspended,environmental permit decision suspended,environmental permit decision suspended,environmental permit decision suspended
request advice through OLO,request advice through OLO,request advice through OLO,request advice through OLO,request advice through OLO
subcase designation GS completed,subcase designation GS completed,subcase designation GS completed,subcase designation GS completed,subcase designation GS completed
change authorized,change authorized,change authorized,change authorized,change authorized
extension not allowed,extension not allowed,extension not allowed,extension not allowed,extension not allowed
treat subcases submit draft decision,treat subcases submit draft decision,treat subcases submit draft decision,treat subcases submit draft decision,treat subcases submit draft decision
phase further information received,phase further information received,phase further information received,phase further information received,phase further information received
treating subcase designation GS,treating subcase designation GS,treating subcase designation GS,treating subcase designation GS,treating subcase designation GS
send letter receptive test not ok wait for report firedepartement,send letter receptive test not ok wait for report firedepartement,send letter receptive test not ok wait for report firedepartement,send letter receptive test not ok wait for report firedepartement,send letter receptive test not ok wait for report firedepartement
set decision phase court injunction,set decision phase court injunction,set decision phase court injunction,set decision phase court injunction,set decision phase court injunction
phase further information requested,phase further information requested,phase further information requested,phase further information requested,phase further information requested
relate objections,relate objections,relate objections,relate objections,relate objections
create decision for court decision,create decision for court decision,create decision for court decision,create decision for court decision,create decision for court decision
enter date request extension,enter date request extension,enter date request extension,enter date request extension,enter date request extension
send invitation hearing about draft to stakeholders,send invitation hearing about draft to stakeholders,send invitation hearing about draft to stakeholders,send invitation hearing about draft to stakeholders,send invitation hearing about draft to stakeholders
enter date hearing about draft,enter date hearing about draft,enter date hearing about draft,enter date hearing about draft,enter date hearing about draft
